,Year,Place of Info Breach,Method of Breach,Type of Breach,Name of Business,Organization Type,Summary of Events,Individuals Affected
13075,2012,Paper,hacked,Improper Disposal,Massive American business hack,Financial,,1655
13083,2012,Paper,hacked,Improper Disposal,TD Bank,Financial,,1655
13094,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident",Global Payments,Financial,,7000
13096,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,7000
13099,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident",Massive American business hack,Financial,,7000
13107,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident",TD Bank,Financial,,7000
13118,2012,Paper,hacked,Theft,Global Payments,Financial,,2905
13120,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2905
13123,2012,Paper,hacked,Theft,Massive American business hack,Financial,,2905
13131,2012,Paper,hacked,Theft,TD Bank,Financial,,2905
13142,2012,Paper,hacked,Improper Disposal,Global Payments,Financial,,3000
13144,2012,Paper,hacked,Improper Disposal,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,3000
13147,2012,Paper,hacked,Improper Disposal,Massive American business hack,Financial,,3000
13155,2012,Paper,hacked,Improper Disposal,TD Bank,Financial,,3000
13166,2012,E-mail,hacked,Unauthorized Access/Disclosure,Global Payments,Financial,,1134
13168,2012,E-mail,hacked,Unauthorized Access/Disclosure,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1134
13171,2012,E-mail,hacked,Unauthorized Access/Disclosure,Massive American business hack,Financial,,1134
13179,2012,E-mail,hacked,Unauthorized Access/Disclosure,TD Bank,Financial,,1134
13190,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,4000
13192,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,4000
13195,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,4000
13203,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,4000
13214,2012,Other Portable Electronic Device,hacked,Loss,Global Payments,Financial,,3900
13216,2012,Other Portable Electronic Device,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,3900
13219,2012,Other Portable Electronic Device,hacked,Loss,Massive American business hack,Financial,,3900
13227,2012,Other Portable Electronic Device,hacked,Loss,TD Bank,Financial,,3900
13238,2012,Desktop Computer,hacked,"Theft, Loss",Global Payments,Financial,,17000
13240,2012,Desktop Computer,hacked,"Theft, Loss","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,17000
13243,2012,Desktop Computer,hacked,"Theft, Loss",Massive American business hack,Financial,,17000
13251,2012,Desktop Computer,hacked,"Theft, Loss",TD Bank,Financial,,17000
13262,2012,Other,hacked,Theft,Global Payments,Financial,,1900
13264,2012,Other,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1900
13267,2012,Other,hacked,Theft,Massive American business hack,Financial,,1900
13275,2012,Other,hacked,Theft,TD Bank,Financial,,1900
13286,2012,Desktop Computer,hacked,"Theft, Loss",Global Payments,Financial,,1137
13288,2012,Desktop Computer,hacked,"Theft, Loss","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1137
13291,2012,Desktop Computer,hacked,"Theft, Loss",Massive American business hack,Financial,,1137
13299,2012,Desktop Computer,hacked,"Theft, Loss",TD Bank,Financial,,1137
13310,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,3000
13312,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,3000
13315,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,3000
13323,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,3000
13334,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,2159
13336,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2159
13339,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,2159
13347,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,2159
13358,2012,Paper,hacked,Theft,Global Payments,Financial,,745
13360,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,745
13363,2012,Paper,hacked,Theft,Massive American business hack,Financial,,745
13371,2012,Paper,hacked,Theft,TD Bank,Financial,,745
13382,2012,Desktop Computer,hacked,"Loss, Unknown",Global Payments,Financial,,5700
13384,2012,Desktop Computer,hacked,"Loss, Unknown","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,5700
13387,2012,Desktop Computer,hacked,"Loss, Unknown",Massive American business hack,Financial,,5700
13395,2012,Desktop Computer,hacked,"Loss, Unknown",TD Bank,Financial,,5700
13406,2012,Other,hacked,Theft,Global Payments,Financial,,500
13408,2012,Other,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,500
13411,2012,Other,hacked,Theft,Massive American business hack,Financial,,500
13419,2012,Other,hacked,Theft,TD Bank,Financial,,500
13430,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,756
13432,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,756
13435,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,756
13443,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,756
13454,2012,Paper,hacked,Loss,Global Payments,Financial,,1102
13456,2012,Paper,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1102
13459,2012,Paper,hacked,Loss,Massive American business hack,Financial,,1102
13467,2012,Paper,hacked,Loss,TD Bank,Financial,,1102
13478,2012,Other Portable Electronic Device,hacked,Loss,Global Payments,Financial,,824
13480,2012,Other Portable Electronic Device,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,824
13483,2012,Other Portable Electronic Device,hacked,Loss,Massive American business hack,Financial,,824
13491,2012,Other Portable Electronic Device,hacked,Loss,TD Bank,Financial,,824
13502,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,1444
13504,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1444
13507,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,1444
13515,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,1444
13526,2012,Other Portable Electronic Device,hacked,Theft,Global Payments,Financial,,2557
13528,2012,Other Portable Electronic Device,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2557
13531,2012,Other Portable Electronic Device,hacked,Theft,Massive American business hack,Financial,,2557
13539,2012,Other Portable Electronic Device,hacked,Theft,TD Bank,Financial,,2557
13550,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,11136
13552,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,11136
13555,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,11136
13563,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,11136
13574,2012,Paper,hacked,Theft,Global Payments,Financial,,1409
13576,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1409
13579,2012,Paper,hacked,Theft,Massive American business hack,Financial,,1409
13587,2012,Paper,hacked,Theft,TD Bank,Financial,,1409
13598,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,4490
13600,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,4490
13603,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,4490
13611,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,4490
13622,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,824
13624,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,824
13627,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,824
13635,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,824
13646,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,708
13648,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,708
13651,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,708
13659,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,708
13670,2012,Desktop Computer,hacked,Unauthorized Access/Disclosure,Global Payments,Financial,,9953
13672,2012,Desktop Computer,hacked,Unauthorized Access/Disclosure,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,9953
13675,2012,Desktop Computer,hacked,Unauthorized Access/Disclosure,Massive American business hack,Financial,,9953
13683,2012,Desktop Computer,hacked,Unauthorized Access/Disclosure,TD Bank,Financial,,9953
13694,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,585
13696,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,585
13699,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,585
13707,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,585
13718,2012,Electronic Medical Record,hacked,Unauthorized Access/Disclosure,Global Payments,Financial,,2462
13720,2012,Electronic Medical Record,hacked,Unauthorized Access/Disclosure,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2462
13723,2012,Electronic Medical Record,hacked,Unauthorized Access/Disclosure,Massive American business hack,Financial,,2462
13731,2012,Electronic Medical Record,hacked,Unauthorized Access/Disclosure,TD Bank,Financial,,2462
13742,2012,Paper,hacked,Theft,Global Payments,Financial,,1500
13744,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1500
13747,2012,Paper,hacked,Theft,Massive American business hack,Financial,,1500
13755,2012,Paper,hacked,Theft,TD Bank,Financial,,1500
13766,2012,Other Portable Electronic Device,hacked,"Loss, Unauthorized Access/Disclosure, Unknown",Global Payments,Financial,,2533
13768,2012,Other Portable Electronic Device,hacked,"Loss, Unauthorized Access/Disclosure, Unknown","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2533
13771,2012,Other Portable Electronic Device,hacked,"Loss, Unauthorized Access/Disclosure, Unknown",Massive American business hack,Financial,,2533
13779,2012,Other Portable Electronic Device,hacked,"Loss, Unauthorized Access/Disclosure, Unknown",TD Bank,Financial,,2533
13790,2012,Other Portable Electronic Device,hacked,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",Global Payments,Financial,,1112
13792,2012,Other Portable Electronic Device,hacked,"Theft, Loss, Unauthorized Access/Disclosure, Unknown","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1112
13795,2012,Other Portable Electronic Device,hacked,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",Massive American business hack,Financial,,1112
13803,2012,Other Portable Electronic Device,hacked,"Theft, Loss, Unauthorized Access/Disclosure, Unknown",TD Bank,Financial,,1112
13814,2012,Paper,hacked,Theft,Global Payments,Financial,,1298
13816,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1298
13819,2012,Paper,hacked,Theft,Massive American business hack,Financial,,1298
13827,2012,Paper,hacked,Theft,TD Bank,Financial,,1298
13838,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",Global Payments,Financial,,4354
13840,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,4354
13843,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",Massive American business hack,Financial,,4354
13851,2012,Network Server,hacked,"Unauthorized Access/Disclosure, Hacking/IT Incident, Other",TD Bank,Financial,,4354
13862,2012,Other Portable Electronic Device,hacked,Loss,Global Payments,Financial,,2917
13864,2012,Other Portable Electronic Device,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2917
13867,2012,Other Portable Electronic Device,hacked,Loss,Massive American business hack,Financial,,2917
13875,2012,Other Portable Electronic Device,hacked,Loss,TD Bank,Financial,,2917
13886,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,3900
13888,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,3900
13891,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,3900
13899,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,3900
13910,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,8488
13912,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,8488
13915,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,8488
13923,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,8488
13934,2012,Other,hacked,Hacking/IT Incident,Global Payments,Financial,,550
13936,2012,Other,hacked,Hacking/IT Incident,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,550
13939,2012,Other,hacked,Hacking/IT Incident,Massive American business hack,Financial,,550
13947,2012,Other,hacked,Hacking/IT Incident,TD Bank,Financial,,550
13958,2012,Network Server,hacked,Other,Global Payments,Financial,,7067
13960,2012,Network Server,hacked,Other,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,7067
13963,2012,Network Server,hacked,Other,Massive American business hack,Financial,,7067
13971,2012,Network Server,hacked,Other,TD Bank,Financial,,7067
13982,2012,Other,hacked,Theft,Global Payments,Financial,,1504
13984,2012,Other,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1504
13987,2012,Other,hacked,Theft,Massive American business hack,Financial,,1504
13995,2012,Other,hacked,Theft,TD Bank,Financial,,1504
14006,2012,Network Server,hacked,Theft,Global Payments,Financial,,4800
14008,2012,Network Server,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,4800
14011,2012,Network Server,hacked,Theft,Massive American business hack,Financial,,4800
14019,2012,Network Server,hacked,Theft,TD Bank,Financial,,4800
14030,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,4211
14032,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,4211
14035,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,4211
14043,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,4211
14054,2012,Paper,hacked,Theft,Global Payments,Financial,,1240
14056,2012,Paper,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,1240
14059,2012,Paper,hacked,Theft,Massive American business hack,Financial,,1240
14067,2012,Paper,hacked,Theft,TD Bank,Financial,,1240
14078,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,7461
14080,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,7461
14083,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,7461
14091,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,7461
14102,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,2097
14104,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2097
14107,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,2097
14115,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,2097
14126,2012,Other,hacked,Hacking/IT Incident,Global Payments,Financial,,505
14128,2012,Other,hacked,Hacking/IT Incident,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,505
14131,2012,Other,hacked,Hacking/IT Incident,Massive American business hack,Financial,,505
14139,2012,Other,hacked,Hacking/IT Incident,TD Bank,Financial,,505
14150,2012,Other,hacked,Theft,Global Payments,Financial,,702
14152,2012,Other,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,702
14155,2012,Other,hacked,Theft,Massive American business hack,Financial,,702
14163,2012,Other,hacked,Theft,TD Bank,Financial,,702
14174,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,2300
14176,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2300
14179,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,2300
14187,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,2300
14198,2012,Other,hacked,Hacking/IT Incident,Global Payments,Financial,,890
14200,2012,Other,hacked,Hacking/IT Incident,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,890
14203,2012,Other,hacked,Hacking/IT Incident,Massive American business hack,Financial,,890
14211,2012,Other,hacked,Hacking/IT Incident,TD Bank,Financial,,890
14222,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,66601
14224,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,66601
14227,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,66601
14235,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,66601
14246,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,603
14248,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,603
14251,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,603
14259,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,603
14270,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. 





",3183
14272,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. 





",3183
14275,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. 





",3183
14283,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. 





",3183
14294,2012,Other Portable Electronic Device,hacked,Loss,Global Payments,Financial,,2264
14296,2012,Other Portable Electronic Device,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2264
14299,2012,Other Portable Electronic Device,hacked,Loss,Massive American business hack,Financial,,2264
14307,2012,Other Portable Electronic Device,hacked,Loss,TD Bank,Financial,,2264
14318,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other",Global Payments,Financial,,754
14320,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,754
14323,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other",Massive American business hack,Financial,,754
14331,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other",TD Bank,Financial,,754
14342,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,500
14344,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,500
14347,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,500
14355,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,500
14366,2012,Other Portable Electronic Device,hacked,Theft,Global Payments,Financial,,55000
14368,2012,Other Portable Electronic Device,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,55000
14371,2012,Other Portable Electronic Device,hacked,Theft,Massive American business hack,Financial,,55000
14379,2012,Other Portable Electronic Device,hacked,Theft,TD Bank,Financial,,55000
14390,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,4000
14392,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,4000
14395,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,4000
14403,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,4000
14414,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,942
14416,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,942
14419,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,942
14427,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,942
14438,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other",Global Payments,Financial,,64846
14440,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other","Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,64846
14443,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other",Massive American business hack,Financial,,64846
14451,2012,Paper,hacked,"Unauthorized Access/Disclosure, Other",TD Bank,Financial,,64846
14462,2012,Network Server,hacked,Hacking/IT Incident,Global Payments,Financial,,2365
14464,2012,Network Server,hacked,Hacking/IT Incident,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2365
14467,2012,Network Server,hacked,Hacking/IT Incident,Massive American business hack,Financial,,2365
14475,2012,Network Server,hacked,Hacking/IT Incident,TD Bank,Financial,,2365
14486,2012,Other Portable Electronic Device,hacked,Theft,Global Payments,Financial,,4873
14488,2012,Other Portable Electronic Device,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,4873
14491,2012,Other Portable Electronic Device,hacked,Theft,Massive American business hack,Financial,,4873
14499,2012,Other Portable Electronic Device,hacked,Theft,TD Bank,Financial,,4873
14510,2012,Other Portable Electronic Device,hacked,Loss,Global Payments,Financial,,5713
14512,2012,Other Portable Electronic Device,hacked,Loss,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,5713
14515,2012,Other Portable Electronic Device,hacked,Loss,Massive American business hack,Financial,,5713
14523,2012,Other Portable Electronic Device,hacked,Loss,TD Bank,Financial,,5713
14534,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,5827
14536,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,5827
14539,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,5827
14547,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,5827
14558,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,13000
14560,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,13000
14563,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,13000
14571,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,13000
14582,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,3031
14584,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,3031
14587,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,3031
14595,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,3031
14606,2012,E-mail,hacked,Unauthorized Access/Disclosure,Global Payments,Financial,,2500
14608,2012,E-mail,hacked,Unauthorized Access/Disclosure,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,2500
14611,2012,E-mail,hacked,Unauthorized Access/Disclosure,Massive American business hack,Financial,,2500
14619,2012,E-mail,hacked,Unauthorized Access/Disclosure,TD Bank,Financial,,2500
14630,2012,Paper,hacked,Improper Disposal,Global Payments,Financial,,13074
14632,2012,Paper,hacked,Improper Disposal,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,13074
14635,2012,Paper,hacked,Improper Disposal,Massive American business hack,Financial,,13074
14643,2012,Paper,hacked,Improper Disposal,TD Bank,Financial,,13074
14654,2012,Desktop Computer,hacked,Theft,Global Payments,Financial,,65700
14656,2012,Desktop Computer,hacked,Theft,"Iranian banks (three:Â Saderat,Â Eghtesad Novin, andÂ Saman)",Financial,,65700
14659,2012,Desktop Computer,hacked,Theft,Massive American business hack,Financial,,65700
14667,2012,Desktop Computer,hacked,Theft,TD Bank,Financial,,65700
14678,2012,Other Portable Electronic Device,hacked,Loss,Global Payments,Financial,,2376
