,Number,Date_of_Breach,Summary
568,568,8/4/2012,"An employee's personal laptop computer that contained the unencrypted electronic protected health information (ePHI) of 3,183 individuals was stolen from his vehicle.  The ePHI involved in the breach included consumer names, identification numbers, diagnosis codes,  base service unit numbers, service start and end dates, service names, procedure codes, service location identifiers, units authorized, units utilized, units cost, total authorization amounts, total utilized amounts, authorization dates, funding sources, provider names, and master provider index numbers.  The CE timely notified all affected individuals, the media, and HHS, and offered assistance to consumers who wished to place fraud alerts on their consumer credit files.  Following the breach, the CE created and implemented a new policy and procedure to improve safeguards.  This policy prohibits downloading any PHI to a home computer or portable device, prohibits forwarding emails containing PHI to a personal account, cloud service, or unauthorized user, and requires full-disk encryption of agency laptops.  OCR obtained assurances that the CE implemented the corrective action listed above. 





"
569,569,7/13/2012,0
570,570,7/31/2012,0
571,571,8/18/2012,0
572,572,7/19/2012,0
573,573,8/26/2012,0
574,574,08/19/2011-09/20/2011,0
575,575,7/24/2012,0
576,576,7/18/2012,0
577,577,5/21/2012,0
578,578,7/15/2012,0
579,579,7/16/2012,0
580,580,7/19/2012,0
581,581,9/2/2012,0
582,582,7/22/2012,0
583,583,7/20/2012,0
584,584,07/31/2012 - 08/02/2012,0
585,585,6/14/2012,0
586,586,8/15/2012,0
587,587,8/17/2012,0
588,588,8/25/2012,0
589,589,9/23/2012,0
590,590,10/4/2012,0
591,591,9/15/2012,0
592,592,05/01/2011 - 08/05/2011,"Two of the covered entity's (CE) employees photocopied documents containing 638 patients' protected health information (PHI) and disclosed the documents to their attorney.  The PHI included names, insurance numbers, diagnoses, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE hired attorneys to seek immediate return of all photocopies that contained the PHI.  The CE provided breach notification to the affected individuals, HHS and the media.  As a result of OCR's investigation, the CE transferred to an electronic billing system that is password protected and secured patient files with a lock.  Further, the front desk has been positioned by a protective window and policies have been implemented to prevent patients from standing beside the reception desk.  The CE also reviewed and revised its consent forms and retrained all staff. "
593,593,8/24/2012,0
594,594,9/17/2012,0
595,595,8/13/2012,0
596,596,8/29/2012,0
597,597,9/18/2012,"An unencrypted thumb drive that contained the electronic protected health information (ePHI) of 1,017 individuals was stolen by an employee of the covered entity's (CE) business associate (BA), Quanterion Solutions, Inc.  The ePHI included names, addresses, dates of birth, driver's license numbers, social security numbers, claims information, clinical information, diagnosis/conditions, lab results, treatment information, and medications.  Upon discovery of the breach, the CE, Surgical Associates of Utica, PC, filed a police report and the employee was arrested.  The CE provided breach notification to HHS, the media, and affected individuals and provided credit monitoring services for these individuals.  As a result of OCR's investigation, the CE executed a BA agreement. 



"
598,598,8/31/2012,0
599,599,01/01/2012 - 09/12/2012,0
600,600,11/04/2011 -04/15/2012,0
601,601,9/13/2012,0
602,602,5/1/2012,0
603,603,9/25/2012,0
604,604,09/17/2012-09/20/2012,0
605,605,9/25/2012,0
606,606,9/24/2012,0
607,607,09/07/2012 - 09/09/2012,0
608,608,10/16/2012,0
609,609,10/19/2012,0
610,610,09/19/2012 - 09/26/2012,0
611,611,10/7/2012,0
612,612,06/15/2012 -10/01/2012,0
613,613,11/2/2012,0
614,614,06/15/2012 - 10/01/2012,0
615,615,06/15/2012-10/01/2012,0
616,616,9/13/2012,0
617,617,10/4/2012,0
618,618,09/28/2012 - 09/30/2012,0
619,619,06/15/2012 - 10/01/2012,0
620,620,06/15/2012 - 10/01/2012,0
621,621,10/1/2012,0
622,622,10/1/2012,0
623,623,06/15/2012-10/01/2012,0
624,624,10/5/2012,0
625,625,06/15/2012-10/01/2012,0
626,626,03/11/2012 - 10/08/2012,0
627,627,4/11/2011,0
628,628,05/01/2012 - 09/21/2012,0
629,629,06/15/2012-10/01/2012,0
630,630,10/12/2012-10/15/2012,0
631,631,10/13/2012-10/27/2012,0
632,632,10/13/2012 - 10/27/2012,0
633,633,10/13/2012 - 10/27/2012,0
634,634,11/14/2012,0
635,635,12/2/2012,0
636,636,08/31/2012 - 09/21/2012,0
637,637,10/20/2012 - 10/21/2012,0
638,638,12/10/2012 - 12/18/2012,0
639,639,11/29/2011,0
640,640,11/27/2012,0
641,641,10/10/2012,0
642,642,11/15/2012,0
643,643,10/18/2012 - 11/04/2012,0
644,644,11/14/2012,0
645,645,5/21/2012,0
646,646,11/13/2012,"OCR opened an investigation of the covered entity (CE), Group Health Insurance, after it reported that postcard reminders were sent to 1,771 subscribers.  The protected health information (PHI) involved included social security numbers within a series of other numbers inscribed on the outside of the postcard.   The CE provided breach notification to HHS, the media, and affected individuals, and posted substitute notice on its website.  Upon discovery of the breach, the CE suspended its mailing in order to verify subscriber information to ensure pending and completed projects did not contain social security numbers.  As a result of OCR's investigation, the CE modified its mailing procedures to prevent similar disclosures from recurring in the future and retrained staff on its modified mailing procedure.  The CE provided affected individuals with a free one year subscription for credit monitoring.



"
647,647,11/4/2012,0
648,648,01/02/2010 - 11/15/2012,0
649,649,10/11/2012,0
650,650,11/16/2012,0
651,651,10/31/2012,0
652,652,11/14/2012,0
653,653,10/18/2012-10/29/2012,0
654,654,12/3/2012,0
655,655,01/01/2007-11/15/2012,0
656,656,11/06/2012-11/15/2012,"OCR opened an investigation of the covered entity (CE) after it reported an unencrypted laptop was stolen that contained the electronic protected health information (ePHI) of 19,178 individuals.  The ePHI included names, addresses, zip codes, dates of birth, social security numbers, claims information, and diagnosis codes.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE encrypted the backup drive of the contents of the laptop computer.  The CE also trained all staff on the use of encryption to safeguard data on personal computers and mobile devices."
657,657,11/28/2012,0
658,658,11/18/2012,0
659,659,12/3/2012,0
660,660,8/14/2011,0
661,661,11/27/2012,"OCR opened an investigation of the covered entity (CE), Baillie Lumber Co. Group Health Plan, after it reported its business associate (BA), Blue Cross Blue Shield, mailed a monthly premium notice with invoices that contained the protected health information (PHI) of 725 individuals which was never received by the CE.  The PHI included names, member identification numbers, and social security numbers.  The CE provided breach notification to HHS and affected individuals.  Upon discovery of the breach, the BA contacted the U.S. Post Office to inquire about the package that contained the invoices that the CE never received.  As a result of OCR's investigation, the BA revised its invoice process and removed social security numbers and member identification numbers from its invoices.  The BA also improved safeguards by changing its mailing procedures to send invoices to the CE via secure email.  The breach involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI."
662,662,4/30/2012,0
663,663,05/30/2012-08/31/2012,0
664,664,09/15/2012-11/30/2012,0
665,665,1/2/2013,0
666,666,12/6/2012,0
667,667,10/11/2012,0
668,668,2/1/2013,0
669,669,1/19/2013,0
670,670,12/13/2012,0
671,671,1/22/2013,0
672,672,12/7/2013,0
673,673,10/27/2012-12/13/2012,0
674,674,05/26/2011 - 02/18/2012,0
675,675,11/18/2012,0
676,676,12/15/2012-12/17/2012,0
677,677,12/14/2012,0
678,678,1/4/2013,0
679,679,11/01/2012 - 12/20/2012,0
680,680,12/20/2012,0
681,681,01/09/2012 -  04/17/2012,0
682,682,11/01/2012-12/20/2012,0
683,683,12/24/2012,0
684,684,11/21/2012,0
685,685,12/28/2012,0
686,686,1/12/2013,0
687,687,1/2/2013,0
688,688,8/11/2012,"OCR opened an investigation of the covered entity (CE), The Brookdale University Hospital and Medical Center, after it reported its business associate (BA), Standard Register, inadvertently mailed statements to 2,261 individuals using another affiliated CE's envelopes.  The protected health information (PHI) included names, addresses and financial information.  OCR provided technical assistance to the CE regarding safeguarding PHI."
689,689,9/21/2012,"The covered entity's (CE) business associate (BA), Health Plus Amerigroup, mailed an unencrypted compact disk that contained the electronic protected health information (ePHI) of 28,187 individuals to the CE, The Brookdale University Hospital and Medical Center.  OCR closed this breach report and consolidated into an existing breach report filed by OHP PHSP, Inc. regarding the same issues."
690,690,9/13/2012,0
691,691,6/1/2011,0
692,692,2/5/2013,0
693,693,2/27/2013,0
694,694,11/10/2012,0
695,695,01/10/2013-01/11/2013,0
696,696,2/1/2013,0
697,697,06/07/2010 - 12/07/2012,0
698,698,1/8/2013,0
699,699,1/8/2013,0
700,700,1/3/2013,0
701,701,11/01/2011-10/01/2012,0
702,702,11/01/2011-10/01/2012,0
703,703,11/01/2011-10/01/2012,0
704,704,10/01/2012 - 02/18/2013,0
705,705,2/12/2013,0
706,706,01/18/2013-01/23/2013,0
707,707,11/01/2012-01/19/2013,0
708,708,1/17/2013,0
709,709,2/18/2013,0
710,710,2/1/2013,0
711,711,2/4/2013,0
712,712,03/11/2013-03/12/2013,0
713,713,05/02/2012-06/22/2012,0
714,714,03/01/2009 - 10/25/2012,0
715,715,3/17/2013,0
716,716,11/02/2012 - 03/14/2013,"The covered entity's (CE) business associate (BA) operated a server containing the electronic protected health information (ePHI) of 2,360 individuals that was vulnerable to access by unauthorized persons for over four months.  The ePHI included transcribed doctors' notes, which may have included medical diagnoses, clinical laboratory results, diagnostic imaging reports, emergency department records, and medication administration.  Upon discovery of the breach, the CE engaged a computer forensic expert to investigate the incident and terminated the BA agreement.  As a result of OCR's investigation, the CE ensured that its BA secured the server, verified that the server was no longer accessible from the Internet, and required the BA to return or destroy all of the CE's ePHI."
717,717,2/24/2013,0
718,718,3/10/2013,0
719,719,2/27/2012,0
720,720,2/11/2013,0
721,721,2/20/2013,"OCR opened an investigation of the covered entity (CE), John J. Pershing VA Medical Center, after the CE reported that its business associate (BA), Stress Laboratory, placed a box of unsecured protected health information (PHI) in an equipment storage room.  The PHI included the names, social security numbers, diagnoses, and age of approximately 589 individuals.  This breach incident involved a BA, and occurred prior to the September 23, 2013 compliance date.  The BA employee involved in this matter separated from employment in 2012, and the BA was reorganized and has been incorporated into the CE.  The CE provided breach notification to affected individuals, HHS, and the media.  Substitute notification was provided through a posting on the CE's main website with a toll-free information number.  The CE also offered one year of identity protection and credit monitoring services to affected individuals.  As a result of this incident, the CE adopted a new policy that provides guidance to its staff regarding the handling of PHI.  Additionally, the CE trained its employees on this new policy, and re-trained its employees on the Privacy, Security, and Breach Notification Rules.  Finally, OCR obtained assurances that the CE implemented the corrective action listed above.



"
722,722,2/22/2013,0
723,723,3/14/2013,0
724,724,2/21/2013,0
725,725,12/27/2012 - 02/22/2013,0
726,726,3/28/2013,0
727,727,2/27/2013,0
728,728,3/20/2013,0
729,729,1/15/2013,0
730,730,3/15/2013,0
731,731,03/18/2013-03/25/2013,0
732,732,3/19/2013,0
733,733,2/15/2013,0
734,734,03/01/2013 - 03/13/2013,0
735,735,11/7/2012,0
736,736,3/7/2013,0
737,737,2/4/2013,0
738,738,4/1/2013,0
739,739,3/5/2013,0
740,740,3/28/2013,0
741,741,4/9/2013,0
742,742,5/13/2013,0
743,743,04/14/2013 - 04/19/2013,0
744,744,06/01/2012 - 03/07/2013,0
745,745,03/14/2013-03/18/2013,0
746,746,3/19/2013,0
747,747,4/14/2013,0
748,748,04/14/2013-04/15/2013,0
749,749,5/7/2013,0
750,750,2/14/2013,0
751,751,02/01/2012- 04/11/2013,0
752,752,03/20/2013-03/26/2013,0
753,753,10/22/2012,0
754,754,1/7/2013,0
755,755,5/8/2013,0
756,756,4/17/2013,0
757,757,4/17/2013,0
758,758,5/17/2013,0
759,759,03/08/2013-05/09/2013,0
760,760,4/25/2013,0
761,761,4/30/2013,0
762,762,05/01/2013 - 05/03/2013,0
763,763,05/01/2013-05/02/2013,0
764,764,5/9/2013,0
765,765,04/06/2013-05/21/2013,0
766,766,5/20/2013,"Business associate (BA) employees erroneously sent 4,305 health plan members' protected health information (PHI) to other plan members.  The PHI involved in the breach included names and prescribed medication(s).  The covered entity, Northrop Grumman Retiree Health Plan, provided breach notification to HHS, and the BA, CVS Caremark, provided breach notification to affected individuals and the media.  Following the breach, the BA revised its quality control policies for targeted mailings and retrained employees involved in the breach to prevent similar incidents in the future.  OCR obtained assurances that the BA implemented the breach notification and policy revisions listed above."
767,767,04/01/2013 - 05/31/2013,0
768,768,05/25/2013-05/30/2013,0
769,769,5/29/2013,0
770,770,6/25/2013,0
771,771,3/1/2011,0
772,772,5/8/2013,0
773,773,5/13/2013,0
774,774,03/28/2013-03/29/2013,0
775,775,5/11/2013,0
776,776,09/01/2012-07/01/2013,0
777,777,05/21/2013-05/29/2013,0
778,778,08/01/2012-07/08/2013,0
779,779,08/15/2005 - 06/14/2007,0
780,780,10/01/2011-11/31/2011,0
781,781,4/16/2013,0
782,782,5/24/2013,0
783,783,12/1/2011,0
784,784,01/01/2011-07/03/2013,0
785,785,6/11/2013,0
786,786,6/5/2013,0
787,787,4/14/2013,0
788,788,05/07/2013-06/06/2013,0
789,789,05/05/2013-06/24/2013,0
790,790,6/12/2013,0
791,791,11/09/2011 - 06/17/2013,0
792,792,4/11/2013,0
793,793,10/16/2011 - 06/07/2013,0
794,794,6/15/2013,0
795,795,6/19/2013,0
796,796,6/16/2013,0
797,797,10/1/2011,0
798,798,01/08/2013 - 01/10/2013,0
799,799,7/15/2013,0
800,800,7/22/2013,0
801,801,07/22/2013-08/02/2013,0
802,802,05/05/2013 - 06/24/2013,0
803,803,7/12/2013,0
804,804,7/29/2013,0
805,805,8/1/2013,0
806,806,7/22/2013,0
807,807,3/15/2013,0
808,808,6/17/2013,0
809,809,7/9/2013,0
810,810,03/05/2013 - 07/16/2013,"Upon request, a subcontractor (PHM Software Solutions) of the covered entity's (CE) business associate (BA), PHM Healthcare Solutions, modified a software application the CE was utilizing  which led to the disclosure of electronic protected health information (ePHI) of 5,000 individuals on the Internet.  The ePHI included names, gender, member identification numbers, dates of birth, and consent forms.  The CE provided breach notification to HHS, the media, and affected individuals and posted substitute notice on its website.  Upon discovery of the breach, the BA removed the software application and placed it offline.  As a result of OCR's investigation, the CE had its BA to conduct a risk analysis and create a risk management plan to address any vulnerabilities identified in the risk analysis.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR provided technical assistance to assist the CE understand its obligations under the Privacy and Security Rules regarding BA agreements.  "
811,811,5/10/2013,0
812,812,5/15/2013,0
813,813,06/30/2013 - 08/15/2013,0
814,814,06/30/2013 - 08/15/2013,0
815,815,01/01/2006 - 01/12/2012,0
816,816,9/4/2013,0
817,817,07/01/2013 - 08/02/2013,0
818,818,12/21/2009 - 06/07/2013,0
819,819,8/14/2013,0
820,820,7/29/2013,0
821,821,8/3/2013,0
822,822,09/14/2013 - 09/15/2013,0
823,823,8/27/2013,0
824,824,08/08/2013-08/09/2013,0
825,825,8/4/2013,0
826,826,10/1/2013,"

OCR opened an investigation of the covered entity (CE), Paul G. Klein DPM, after it reported an encrypted and password protected laptop was stolen that contained the electronic protected health information (ePHI) of 2,500 individuals.  The ePHI included names, addresses, dates of birth, social security numbers, diagnosis conditions, lab test results, medications, medical notes, and treatment plans.  Upon discovery of the breach, the CE filed a police report to recover the stolen item.  As a result of OCR's investigation, the CE provided confirmation that there was encryption software and multi-layered password protection software installed on the stolen laptop.  OCR determined that the impermissible disclosure of ePHI did not constitute a breach under the Privacy Rule's breach notification rule and provided technical assistance to the CE regarding the requirements of the breach notification rule.



"
827,827,02/01/2013-08/27/2013,0
828,828,9/5/2013,0
829,829,9/9/2013,0
830,830,03/18/2013-05/13/2013,0
831,831,9/16/2013,0
832,832,8/7/2013,0
833,833,8/5/2013,0
834,834,8/6/2013,0
835,835,8/3/2013,0
836,836,7/25/2013,0
837,837,6/30/2013,0
838,838,12/1/2011,0
839,839,8/23/2013,0
840,840,06/28/2013 - 07/16/2013,0
841,841,07/03/2013 - 07/11/2013,0
842,842,9/18/2013,0
843,843,8/19/2013,0
844,844,10/01/2012 - 12/31/2012,0
845,845,10/01/2012 - 07/11/2013,0
846,846,8/1/2013,0
847,847,8/22/2013,0
848,848,10/4/2013,0
849,849,9/23/2009,0
850,850,9/23/2009,0
851,851,7/25/2013,0
852,852,7/8/2013,0
853,853,8/27/2013,0
854,854,10/12/2013,0
855,855,8/30/2013,0
856,856,9/19/2013,0
857,857,11/26/2010 - 10/01/2013,0
858,858,05/01/2013 - 07/26/2013,0
859,859,10/28/2013,0
860,860,10/4/2013,0
861,861,8/30/2013,0
862,862,9/4/2013,0
863,863,9/24/2013,0
864,864,9/6/2013,0
865,865,10/14/2013,0
866,866,8/13/2013,0
867,867,9/20/2013,0
868,868,9/20/2013,0
869,869,09/17/2012 - 09/17/2013,0
870,870,11/10/2013,0
871,871,8/9/2013,0
872,872,01/01/2013 -10/04/2013,0
873,873,8/1/2013,0
874,874,9/27/2013,0
875,875,9/27/2013,0
876,876,9/26/2013,0
877,877,10/22/2013,0
878,878,11/6/2013,0
879,879,9/25/2013,0
880,880,10/13/2013,0
881,881,11/22/2013,0
882,882,11/05/2012 - 11/06/2013,0
883,883,10/2/2013,0
884,884,06/18/2013 - 10/07/2013,0
885,885,10/8/2013,0
886,886,09/13/2013 - 10/15/2013,0
887,887,11/6/2013,0
888,888,10/8/2013,0
889,889,09/18/2013 - 10/04/2013,0
890,890,09/01/2005 - 08/01/2013,0
891,891,03/06/2013 -09/09/2013,0
892,892,10/10/2013,0
893,893,10/15/2013,0
894,894,09/17/2013 - 11/08/2013,0
895,895,10/11/2013,0
896,896,10/18/2013,0
897,897,09/09/2013 - 10/03/2013,0
898,898,10/16/2013,0
899,899,11/8/2013,0
900,900,10/16/2013,0
901,901,10/21/2013,0
902,902,10/16/2013,0
903,903,10/1/2013,0
904,904,12/16/2013,0
905,905,11/25/2013,0
906,906,11/1/2013,0
907,907,10/30/2013,0
908,908,11/13/2013,0
909,909,11/21/2013,0
910,910,11/1/2013,0
911,911,11/5/2013,0
912,912,01/01/2010-11/30/2013,0
913,913,11/26/2013,0
914,914,12/30/2013,0
915,915,11/23/2013,0
916,916,9/20/2013,0
917,917,11/15/2013,0
918,918,11/12/2013,0
919,919,04/13/2013 - 10/31/2013,0
920,920,5/8/2011,0
921,921,9/9/2010,0
922,922,10/3/2008,0
923,923,8/22/2013,0
924,924,10/16/2013,0
925,925,12/12/2013,0
926,926,12/2/2013,0
927,927,9/2/2013,0
928,928,12/16/2013,0
929,929,5/28/2013,0
930,930,12/10/2013,0
931,931,12/6/2013,0
932,932,03/09/2013-03/11/2013,"Computer hackers installed malware that intercepted the electronic protected health information (ePHI) of approximately 4,230 individuals using the covered entity's (CE's) website.  The ePHI included names, dates of birth, phone numbers, shipping and billing addresses, email addresses, credit card issuers, expiration dates, the last 4 digits of credit card numbers, account numbers, primary physicians, diagnoses, order histories, and health insurers.  Following the breach, the CE removed the malware from the affected computer servers, migrated the website to non-compromised "
933,933,11/18/2013,0
934,934,12/27/2013,0
935,935,11/2/2013,0
936,936,12/12/2013,0
937,937,3/19/2013,0
938,938,12/2/2013,0
939,939,1/4/2014,0
940,940,8/19/2013,0
941,941,1/10/2014,0
942,942,6/27/2013,0
943,943,2/6/2013,0
944,944,12/17/2013,0
945,945,12/13/2013,0
946,946,12/23/2013,0
947,947,3/23/2012,0
948,948,4/16/2012,0
949,949,3/29/2012,0
950,950,12/23/2013,0
951,951,5/8/2012,0
952,952,1/1/2013,0
953,953,11/18/2013,0
954,954,10/30/2013,0
955,955,12/31/2013,0
956,956,1/5/2014,0
957,957,12/27/2013,0
958,958,9/25/2013,0
959,959,12/16/2013,0
960,960,2/21/2014,0
961,961,8/22/2013,0
962,962,8/22/2013,0
963,963,12/1/2008,0
964,964,2/5/2014,0
965,965,5/31/2013,0
966,966,11/13/2013,0
967,967,1/11/2014,0
968,968,9/7/2012,0
969,969,1/13/2014,0
970,970,9/11/2013,0
971,971,12/31/2013,0
972,972,1/9/2014,0
973,973,5/9/2012,0
974,974,1/24/2012,0
975,975,1/7/2008,0
976,976,1/7/2008,0
977,977,1/7/2008,0
978,978,1/7/2008,0
979,979,2/5/2014,0
980,980,2/4/2014,0
981,981,7/11/2013,0
982,982,1/28/2014,0
983,983,1/30/2014,0
984,984,12/5/2013,0
985,985,1/15/2014,0
986,986,1/15/2014,0
987,987,2/21/2014,0
988,988,3/6/2013,0
989,989,12/10/2013,0
990,990,11/13/2013,0
991,991,2/10/2014,0
992,992,2/2/2014,0
993,993,10/18/2011,0
994,994,1/1/2013,0
995,995,1/1/2013,0
996,996,1/30/2014,0
997,997,2/5/2014,0
998,998,10/22/2013,0
999,999,2/6/2014,0
1000,1000,3/5/2014,0
1001,1001,4/1/2012,0
1002,1002,8/16/2013,0
1003,1003,3/7/2013,0
1004,1004,3/25/2014,0
1005,1005,5/8/2013,0
1006,1006,2/23/2014,0
1007,1007,11/27/2013,0
1008,1008,2/14/2014,0
1009,1009,2/18/2014,0
1010,1010,2/28/2014,0
1011,1011,3/4/2014,0
1012,1012,2/17/2014,0
1013,1013,2/21/2014,0
1014,1014,2/11/2014,0
1015,1015,1/1/2013,0
1016,1016,4/10/2014,0
1017,1017,3/3/2014,0
1018,1018,3/19/2014,0
1019,1019,2/20/2014,0
1020,1020,1/23/2014,0
1021,1021,1/23/2014,0
1022,1022,1/23/2014,0
1023,1023,1/23/2014,0
1024,1024,2/9/2014,0
1025,1025,2/26/2014,0
1026,1026,6/3/2013,0
1027,1027,3/2/2012,0
1028,1028,4/4/2014,0
1029,1029,5/6/2002,0
1030,1030,6/27/2012,0
1031,1031,5/1/2011,0
1032,1032,3/18/2014,0
1033,1033,3/13/2014,0
1034,1034,2/2/2014,0
1035,1035,9/20/2013,0
1036,1036,3/23/2010,0
1037,1037,2/15/2014,0
1038,1038,3/26/2014,0
1039,1039,4/2/2014,0
1040,1040,8/1/2011,0
1041,1041,4/1/2013,0
1042,1042,9/20/2013,0
1043,1043,4/2/2014,0
1044,1044,4/8/2014,0
1045,1045,4/19/2014,0
1046,1046,11/20/2013,0
1047,1047,9/13/2013,0
1048,1048,3/3/2014,0
1049,1049,5/30/2014,0
1050,1050,9/20/2013,0
1051,1051,2/11/2014,0
1052,1052,6/2/2014,0
1053,1053,5/13/2014,0
1054,1054,5/27/2014,0
